,Unnamed: 0,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema,ema_slow,sell,buy,moving_avg,trend_change,TriggerSell,TriggerBuy
76,9,202409181000,1.1138700000000001,1.11342,1.11376,1.1138,3704,m30,1,,,1.1131861362364488,1.1129156337761057,1,0,1.1138000000000001,0,0,0
77,17,202409181000,1.1138700000000001,1.11342,1.11356,1.1138,1802,m15,1,,,1.1132704043534385,1.1128830346366954,1,0,1.1137520000000003,0,0,0
78,50,202409181005,1.1138,1.1136700000000002,1.11374,1.11374,665,m5,1,,,1.1136347028582412,1.1131146251658388,0,1,1.1137200000000003,0,0,0
79,51,202409181010,1.11378,1.11342,1.11356,1.11374,613,m5,1,,,1.1136211201211903,1.1131345835605173,0,1,1.1136720000000004,0,0,0
80,52,202409181015,1.11373,1.1135,1.11355,1.11356,612,m5,1,,,1.1136081888791218,1.1131530958311036,0,1,1.1136340000000005,0,0,0
81,18,202409181015,1.11378,1.11342,1.11376,1.11356,1902,m15,1,,,1.1133614323244905,1.1129476327353487,1,0,1.1136340000000005,0,0,0
82,53,202409181020,1.1135700000000002,1.11344,1.11354,1.11355,709,m5,1,,,1.1135957906571785,1.113170245795683,0,1,1.1136300000000006,0,0,0
83,54,202409181025,1.11378,1.11342,1.11376,1.11354,581,m5,1,,1.0,1.1136256473819266,1.1131962544018263,1,-1,1.1136340000000007,1,1,0
84,19,202409181030,1.11378,1.11337,1.1135,1.11376,2137,m15,1,,,1.1133870901246847,1.1129869657934253,1,0,1.1136220000000006,0,0,0
85,55,202409181030,1.11378,1.11353,1.11354,1.11376,797,m5,1,,,1.1136100749255755,1.11321134014759,1,0,1.1136200000000005,0,0,0
86,10,202409181030,1.11378,1.11296,1.113,1.11376,4253,m30,1,,,1.1131481109304069,1.1129249272217043,1,0,1.1134680000000006,0,0,0
87,56,202409181035,1.11355,1.11337,1.1135,1.11354,676,m5,1,,,1.1135900610870837,1.1132239494858491,1,0,1.1134600000000006,0,0,0
88,57,202409181040,1.11369,1.11348,1.1135,1.1135,664,m5,1,,,1.1135736861996104,1.1132359543968884,1,0,1.1134080000000006,0,0,0
89,20,202409181045,1.11353,1.11296,1.113,1.1135,2116,m15,1,,,1.113315653856028,1.1129878651622909,1,0,1.1133080000000006,0,0,0
90,58,202409181045,1.11353,1.1132600000000001,1.11353,1.1135,652,m5,1,,,1.1135657431969306,1.1132486874791356,1,0,1.1133060000000008,0,0,0
91,59,202409181050,1.11353,1.11319,1.11319,1.11353,862,m5,1,,,1.1134974258488342,1.113246156475364,1,0,1.1133440000000008,0,0,0
92,60,202409181055,1.1132600000000001,1.11296,1.113,1.11319,602,m5,1,,,1.1134069843486858,1.1132355818902926,1,0,1.1132440000000006,0,0,0
93,11,202409181100,1.1130200000000001,1.11238,1.11259,1.113,3774,m30,1,,,1.113036601387968,1.1128904768961452,1,0,1.1130620000000007,0,0,0
94,21,202409181100,1.1130200000000001,1.11247,1.11264,1.113,1759,m15,1,,,1.1131913033686214,1.112964556484617,1,0,1.1129900000000006,0,0,0
95,61,202409181100,1.1130200000000001,1.11247,1.1125200000000002,1.113,535,m5,1,1.0,,1.113245713829953,1.1132049559919972,-1,1,1.1127880000000006,-1,0,0
96,62,202409181105,1.1129,1.11251,1.11286,1.1125200000000002,634,m5,1,,,1.1131755838159934,1.11319024506866,0,1,1.1127220000000009,0,0,0
97,63,202409181110,1.11291,1.1126200000000002,1.11264,1.11286,590,m5,1,,,1.1130782046828125,1.1131668596435629,0,1,1.1126500000000008,0,0,0
