,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,trend,trend_line,ema_short,ema_long,rsi,buy,sell
488,202507022215,1.18001,1.17977,1.1798899999999999,1.17998,211,m5,1,,,1,1.1797919999999975,1.1796341990270889,1.1795989771655033,54.85232067510406,0,0
489,202507022220,1.17994,1.1797199999999999,1.17978,1.1798899999999999,228,m5,1,,,1,1.1798499999999976,1.179660708294891,1.1796162174354552,53.06122448979777,0,0
490,202507022225,1.17996,1.17978,1.17994,1.17978,94,m5,1,,,1,1.1798999999999977,1.1797114886049107,1.1796470538701738,53.99999999999964,0,0
491,202507022230,1.17997,1.17982,1.17983,1.17994,116,m5,1,,,1,1.1798839999999977,1.1797330361312905,1.1796644773111098,55.10204081632357,0,0
492,202507022235,1.1798899999999999,1.1798,1.17986,1.17983,96,m5,1,,,1,1.1798599999999975,1.1797561204710558,1.1796830985195756,56.32653061224087,0,0
493,202507022240,1.17988,1.1798,1.17983,1.17986,89,m5,1,,,1,1.1798479999999976,1.179769553112682,1.1796970891367589,61.88340807174732,0,0
494,202507022245,1.17998,1.17981,1.17997,1.17983,106,m5,1,,,1,1.1798859999999975,1.1798059980012854,1.1797230806475436,65.23605150214604,0,0
495,202507022250,1.17997,1.17969,1.1797,1.17997,125,m5,1,1.0,,1,1.1798379999999977,1.1797867256374153,1.1797208824906347,59.84251968503834,1,-1
496,202507022255,1.1798899999999999,1.17967,1.17983,1.1797,119,m5,1,,,1,1.1798379999999977,1.1797945937033396,1.1797312746343835,63.95348837209512,0,0
497,202507022300,1.17995,1.1797199999999999,1.17994,1.17983,200,m5,1,,,1,1.1798539999999977,1.1798210312118234,1.1797511532406326,74.26160337552727,0,0
498,202507022305,1.17996,1.17988,1.17991,1.17994,126,m5,1,,,1,1.1798699999999978,1.1798372073551282,1.1797662815034295,62.35294117647289,0,0
499,202507022310,1.17998,1.17988,1.17997,1.17991,110,m5,1,,,1,1.1798699999999978,1.1798613514723777,1.1797856832650075,58.9743589743608,0,0
500,202507022315,1.18001,1.17996,1.17999,1.17997,153,m5,1,,,1,1.1799279999999979,1.1798847421137637,1.1798051420016735,52.94117647059112,0,0
501,202507022320,1.18,1.1799,1.17996,1.17999,117,m5,1,,,1,1.1799539999999977,1.1798984253658067,1.1798198903824664,49.2424242424194,0,0
502,202507022325,1.17999,1.17993,1.17996,1.17996,149,m5,1,,,1,1.1799579999999978,1.1799096207538418,1.1798332341555648,52.84552845528499,0,0
503,202507022330,1.18002,1.17995,1.18,1.17996,217,m5,1,,,1,1.1799759999999977,1.1799260533440523,1.1798491166169396,59.48275862068256,0,0
504,202507022335,1.18,1.17988,1.17997,1.18,131,m5,1,,,1,1.1799759999999977,1.1799340436451338,1.1798606293200882,51.45631067960997,0,0
505,202507022340,1.17999,1.17992,1.17998,1.17997,240,m5,1,,,1,1.1799739999999979,1.1799423993460185,1.1798719979562704,58.06451612903457,0,0
506,202507022345,1.18023,1.1798,1.17984,1.17998,411,m5,1,,,1,1.179949999999998,1.1799237812831063,1.1798689505318636,49.03846153846626,0,0
507,202507022350,1.18004,1.17981,1.18,1.17984,287,m5,1,,,1,1.179957999999998,1.1799376392316323,1.1798814314335908,57.264957264955314,0,0
508,202507022355,1.18004,1.17984,1.17986,1.18,393,m5,1,,,1,1.1799299999999981,1.1799235230076992,1.1798793903446774,45.29914529914433,0,0
509,202507030000,1.18026,1.17978,1.18024,1.17986,854,m5,1,,,1,1.179983999999998,1.1799810642790267,1.1799137341213746,71.09374999999295,0,0
