,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema_10,ema_18,peaks_min_ema_10,peaks_max_ema_10,peaks_min_ema_18,peaks_max_ema_18,trade_open_zone,centro_picos_max_suave,centro_picos_min_suave,centro_picos_max_trend,centro_picos_min_trend,signal,last_min_trend_marker,last_max_trend_marker
541,202507140955,96.744,96.72,96.74000000000001,96.72,1274,m5,1,0,0,96.71900009055608,96.72195594071057,0,0,0,0,0,96.92381384656011,96.55172141119212,,,0,,
542,202507141000,96.75800000000001,96.732,96.754,96.74000000000001,1136,m5,1,0,0,96.72536371045497,96.72532899958316,0,0,0,0,0,96.9243769470406,96.55183576642325,,,0,,
543,202507141005,96.765,96.71300000000001,96.717,96.754,894,m5,1,0,0,96.72384303582679,96.72445226278492,0,0,0,0,0,96.92495015576334,96.55195012165439,,,0,,
544,202507141010,96.735,96.703,96.721,96.717,713,m5,1,0,0,96.72332612022191,96.7240888667023,0,0,0,0,0,96.92552336448608,96.55206447688553,,,0,,
545,202507141015,96.72800000000001,96.697,96.712,96.721,798,m5,1,0,0,96.7212668256361,96.72281635441784,0,0,0,0,0,96.92609657320884,96.55217883211668,,,0,,
546,202507141020,96.729,96.705,96.723,96.712,724,m5,1,0,0,96.72158194824772,96.72283568553175,0,0,0,0,0,96.92666978193158,96.55229318734783,,,0,,
547,202507141025,96.742,96.718,96.724,96.723,490,m5,1,0,0,96.72202159402084,96.72295824494947,0,0,0,0,0,96.92724299065432,96.55240754257896,,,0,,
548,202507141030,96.747,96.708,96.742,96.724,633,m5,1,0,0,96.72565403147159,96.72496264021795,0,0,0,0,0,96.92781619937706,96.55252189781011,,,0,,
549,202507141035,96.772,96.732,96.733,96.742,638,m5,1,0,0,96.72698966211311,96.72580867808975,0,0,0,0,0,96.9283894080998,96.55263625304126,,,0,,
550,202507141040,96.739,96.70700000000001,96.721,96.733,547,m5,1,0,0,96.725900632638,96.72530250144872,0,0,0,0,0,96.92896261682256,96.5527506082724,,,0,,
551,202507141045,96.72800000000001,96.677,96.69300000000001,96.721,803,m5,1,0,0,96.71991869943109,96.72190223813834,0,0,0,0,0,96.9295358255453,96.55286496350354,,,0,,
