timestamp,trade_id,instrument,side,open_price,current_price,current_pips,max_pips,action,details
2025-09-25T08:11:00.821337+01:00,69090536,USD/JPY,B,148.805,148.78199999999998,-2.3,-0.3,MONITOR,"Monitoring - Current: -2.3, Max: -0.3"
2025-09-25T08:12:00.357149+01:00,69090538,GBP/USD,S,1.34591,1.34581,1.0,1.6,DECLINING,"Pips declining: 1.0 (max was: 1.6, declining count: 1)"
2025-09-25T08:12:00.357149+01:00,69090536,USD/JPY,B,148.805,148.766,-3.9,-0.3,DECLINING,"Pips declining: -3.9 (max was: -0.3, declining count: 1)"
2025-09-25T08:13:00.914279+01:00,69090538,GBP/USD,S,1.34591,1.34588,0.3,0.3,AUTO_CLOSE,Auto-closed due to pip decline from 1.6 to 0.3 (Success: True)
2025-09-25T08:13:00.914279+01:00,69090544,EUR/USD,B,1.17436,1.17449,1.3,1.3,TRACK_START,Started tracking trade - Initial pips: 1.3
2025-09-25T08:13:00.914279+01:00,69090536,USD/JPY,B,148.805,148.74599999999998,-5.9,-0.3,DECLINING,"Pips declining: -5.9 (max was: -0.3, declining count: 2)"
2025-09-25T08:14:00.352377+01:00,69090544,EUR/USD,B,1.17436,1.17458,2.2,2.2,NEW_HIGH,New pip high reached: 2.2 (previous max: 1.3)
2025-09-25T08:14:00.354453+01:00,69090536,USD/JPY,B,148.805,148.733,-7.2,-0.3,DECLINING,"Pips declining: -7.2 (max was: -0.3, declining count: 3)"
2025-09-25T08:15:00.841718+01:00,69090544,EUR/USD,B,1.17436,1.17435,-0.1,2.2,DECLINING,"Pips declining: -0.1 (max was: 2.2, declining count: 1)"
2025-09-25T08:16:00.368805+01:00,69090544,EUR/USD,B,1.17436,1.17457,2.1,2.2,MONITOR,"Monitoring - Current: 2.1, Max: 2.2"
2025-09-25T08:17:00.886163+01:00,69090544,EUR/USD,B,1.17436,1.17458,2.2,2.2,MONITOR,"Monitoring - Current: 2.2, Max: 2.2"
2025-09-25T08:18:00.413374+01:00,69090544,EUR/USD,B,1.17436,1.17446,1.0,2.2,DECLINING,"Pips declining: 1.0 (max was: 2.2, declining count: 1)"
2025-09-25T08:18:00.415677+01:00,69090546,USD/JPY,B,148.68,148.679,-0.1,-0.1,TRACK_START,Started tracking trade - Initial pips: -0.1
2025-09-25T08:19:00.926824+01:00,69090544,EUR/USD,B,1.17436,1.17443,0.7,0.7,AUTO_CLOSE,Auto-closed due to pip decline from 2.2 to 0.7 (Success: True)
2025-09-25T08:19:00.927825+01:00,69090546,USD/JPY,B,148.68,148.69199999999998,1.2,1.2,NEW_HIGH,New pip high reached: 1.2 (previous max: -0.1)
2025-09-25T08:20:00.381608+01:00,69090546,USD/JPY,B,148.68,148.691,1.1,1.2,DECLINING,"Pips declining: 1.1 (max was: 1.2, declining count: 1)"
2025-09-25T08:21:00.882704+01:00,69090546,USD/JPY,B,148.68,148.689,0.9,0.9,AUTO_CLOSE,Auto-closed due to pip decline from 1.2 to 0.9 (Success: True)
2025-09-25T08:49:00.072850+01:00,69090557,GBP/USD,B,1.3449,1.34468,-2.2,-2.2,TRACK_START,Started tracking trade - Initial pips: -2.2
2025-09-25T08:50:00.544258+01:00,69090557,GBP/USD,B,1.3449,1.34463,-2.7,-2.2,DECLINING,"Pips declining: -2.7 (max was: -2.2, declining count: 1)"
2025-09-25T08:51:00.026850+01:00,69090557,GBP/USD,B,1.3449,1.34455,-3.5,-2.2,DECLINING,"Pips declining: -3.5 (max was: -2.2, declining count: 2)"
2025-09-25T08:52:00.472507+01:00,69090557,GBP/USD,B,1.3449,1.34473,-1.7,-1.7,NEW_HIGH,New pip high reached: -1.7 (previous max: -2.2)
2025-09-25T08:53:00.974570+01:00,69090557,GBP/USD,B,1.3449,1.34443,-4.7,-1.7,DECLINING,"Pips declining: -4.7 (max was: -1.7, declining count: 1)"
2025-09-25T08:54:00.443853+01:00,69090557,GBP/USD,B,1.3449,1.34425,-6.5,-1.7,DECLINING,"Pips declining: -6.5 (max was: -1.7, declining count: 2)"
2025-09-25T08:55:00.959961+01:00,69090557,GBP/USD,B,1.3449,1.3443,-6.0,-1.7,MONITOR,"Monitoring - Current: -6.0, Max: -1.7"
2025-09-25T08:56:00.464814+01:00,69090557,GBP/USD,B,1.3449,1.34394,-9.6,-1.7,DECLINING,"Pips declining: -9.6 (max was: -1.7, declining count: 1)"
2025-09-25T08:57:00.028498+01:00,69090557,GBP/USD,B,1.3449,1.34393,-9.7,-1.7,DECLINING,"Pips declining: -9.7 (max was: -1.7, declining count: 2)"
2025-09-25T08:58:00.550278+01:00,69090561,USD/JPY,S,148.798,148.793,0.5,0.5,TRACK_START,Started tracking trade - Initial pips: 0.5
2025-09-25T08:59:00.060761+01:00,69090561,USD/JPY,S,148.798,148.8,-0.2,0.5,DECLINING,"Pips declining: -0.2 (max was: 0.5, declining count: 1)"
2025-09-25T09:00:00.556889+01:00,69090561,USD/JPY,S,148.798,148.822,-2.4,-2.4,AUTO_CLOSE,Auto-closed due to pip decline from 0.5 to -2.4 (Success: True)
2025-09-25T09:02:00.578971+01:00,69090564,USD/JPY,S,148.805,148.81400000000002,-0.9,-0.9,TRACK_START,Started tracking trade - Initial pips: -0.9
2025-09-25T09:02:00.581170+01:00,69090563,GBP/USD,B,1.34376,1.34354,-2.2,-2.2,TRACK_START,Started tracking trade - Initial pips: -2.2
2025-09-25T09:03:00.062258+01:00,69090564,USD/JPY,S,148.805,148.79000000000002,1.5,1.5,NEW_HIGH,New pip high reached: 1.5 (previous max: -0.9)
2025-09-25T09:03:00.064259+01:00,69090563,GBP/USD,B,1.34376,1.34401,2.5,2.5,NEW_HIGH,New pip high reached: 2.5 (previous max: -2.2)
2025-09-25T09:04:00.600433+01:00,69090564,USD/JPY,S,148.805,148.797,0.8,1.5,DECLINING,"Pips declining: 0.8 (max was: 1.5, declining count: 1)"
2025-09-25T09:04:00.603648+01:00,69090563,GBP/USD,B,1.34376,1.34382,0.6,2.5,DECLINING,"Pips declining: 0.6 (max was: 2.5, declining count: 1)"
2025-09-25T09:05:00.040354+01:00,69090564,USD/JPY,S,148.805,148.779,2.6,2.6,NEW_HIGH,New pip high reached: 2.6 (previous max: 1.5)
2025-09-25T09:05:00.042602+01:00,69090563,GBP/USD,B,1.34376,1.34406,3.0,3.0,NEW_HIGH,New pip high reached: 3.0 (previous max: 2.5)
2025-09-25T09:06:00.611870+01:00,69090564,USD/JPY,S,148.805,148.78300000000002,2.2,2.6,DECLINING,"Pips declining: 2.2 (max was: 2.6, declining count: 1)"
2025-09-25T09:06:00.613880+01:00,69090563,GBP/USD,B,1.34376,1.34414,3.8,3.8,NEW_HIGH,New pip high reached: 3.8 (previous max: 3.0)
2025-09-25T09:07:00.082540+01:00,69090564,USD/JPY,S,148.805,148.799,0.6,0.6,AUTO_CLOSE,Auto-closed due to pip decline from 2.6 to 0.6 (Success: True)
2025-09-25T09:07:00.086564+01:00,69090563,GBP/USD,B,1.34376,1.34399,2.3,3.8,DECLINING,"Pips declining: 2.3 (max was: 3.8, declining count: 1)"
2025-09-25T09:08:00.612313+01:00,69090563,GBP/USD,B,1.34376,1.34404,2.8,3.8,MONITOR,"Monitoring - Current: 2.8, Max: 3.8"
2025-09-25T09:09:00.141821+01:00,69090563,GBP/USD,B,1.34376,1.34435,5.9,5.9,NEW_HIGH,New pip high reached: 5.9 (previous max: 3.8)
2025-09-25T09:10:00.615619+01:00,69090563,GBP/USD,B,1.34376,1.34465,8.9,8.9,NEW_HIGH,New pip high reached: 8.9 (previous max: 5.9)
2025-09-25T09:11:00.107391+01:00,69090563,GBP/USD,B,1.34376,1.34444,6.8,8.9,DECLINING,"Pips declining: 6.8 (max was: 8.9, declining count: 1)"
2025-09-25T09:12:00.577913+01:00,69090563,GBP/USD,B,1.34376,1.34466,9.0,9.0,NEW_HIGH,New pip high reached: 9.0 (previous max: 8.9)
2025-09-25T09:13:00.121380+01:00,69090563,GBP/USD,B,1.34376,1.34476,10.0,10.0,NEW_HIGH,New pip high reached: 10.0 (previous max: 9.0)
2025-09-25T09:14:00.594001+01:00,69090563,GBP/USD,B,1.34376,1.34472,9.6,10.0,DECLINING,"Pips declining: 9.6 (max was: 10.0, declining count: 1)"
2025-09-25T09:15:00.130473+01:00,69090563,GBP/USD,B,1.34376,1.34473,9.7,10.0,MONITOR,"Monitoring - Current: 9.7, Max: 10.0"
