timestamp,instrument,timeframe,action,side,price,signal_date,details
2025-12-11T07:20:11.140470+00:00,USD/JPY,m1,OPEN,B,155.921,202512110717,BUY signal
2025-12-11T07:29:16.729374+00:00,GBP/USD,m1,OPEN,S,1.33787,202512110727,SELL signal
2025-12-11T08:03:05.634324+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136641
2025-12-11T08:03:05.637335+00:00,USD/JPY,m1,OPEN,S,156.03199999999998,202512110800,SELL signal
2025-12-11T08:03:05.644591+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136641
2025-12-11T08:03:11.120298+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69136661
2025-12-11T08:03:11.122797+00:00,GBP/USD,m1,OPEN,B,1.33672,202512110801,BUY signal
2025-12-11T08:03:11.131183+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69136661
2025-12-11T08:33:11.668952+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69136676
2025-12-11T08:33:11.672641+00:00,USD/JPY,m1,OPEN,B,155.87099999999998,202512110831,BUY signal
2025-12-11T08:33:11.679069+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69136676
2025-12-11T09:03:05.869087+00:00,EUR/USD,m1,OPEN,B,1.16958,202512110901,BUY signal
2025-12-11T09:13:05.891387+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136697
2025-12-11T09:13:05.895251+00:00,USD/JPY,m1,OPEN,S,155.999,202512110911,SELL signal
2025-12-11T09:13:05.902311+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136697
2025-12-11T09:18:05.956778+00:00,GBP/USD,m1,OPEN,B,1.33578,202512110916,BUY signal
2025-12-11T09:52:16.450177+00:00,EUR/USD,m1,CLOSE,B,,,TradeID=69136710
2025-12-11T09:52:16.451539+00:00,EUR/USD,m1,OPEN,S,1.17012,202512110949,SELL signal
2025-12-11T09:52:16.461600+00:00,EUR/USD,m1,CLOSE,B,,,TradeID=69136710
2025-12-11T09:57:05.907090+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69136718
2025-12-11T09:57:05.910908+00:00,GBP/USD,m1,OPEN,S,1.33717,202512110955,SELL signal
2025-12-11T09:57:05.918942+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69136718
2025-12-11T09:58:16.703597+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69136713
2025-12-11T09:58:16.706596+00:00,USD/JPY,m1,OPEN,B,155.851,202512110955,BUY signal
2025-12-11T09:58:16.714585+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69136713
2025-12-11T10:47:11.351359+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136737
2025-12-11T10:47:11.354407+00:00,USD/JPY,m1,OPEN,S,155.944,202512111045,SELL signal
2025-12-11T10:47:11.360967+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69136737
2025-12-11T12:04:11.588419+00:00,EUR/USD,m1,OPEN,B,1.17099,202512111202,BUY signal
2025-12-11T14:58:11.747158+00:00,EUR/USD,m1,OPEN,B,1.17356,202512111456,BUY signal
2025-12-11T14:58:17.492526+00:00,GBP/USD,m1,OPEN,B,1.34142,202512111456,BUY signal
2025-12-11T15:20:16.534261+00:00,USD/JPY,m1,OPEN,S,155.158,202512111518,SELL signal
2025-12-11T16:30:05.942493+00:00,USD/JPY,m1,OPEN,S,155.286,202512111627,SELL signal
2025-12-12T03:38:16.261174+00:00,GBP/USD,m1,OPEN,S,1.33928,202512120336,SELL signal
2025-12-12T04:53:17.561113+00:00,EUR/USD,m1,CLOSE,B,,,TradeID=69136954
2025-12-12T04:53:17.563677+00:00,EUR/USD,m1,OPEN,S,1.17353,202512120451,SELL signal
2025-12-12T04:53:17.574720+00:00,EUR/USD,m1,CLOSE,B,,,TradeID=69136954
2025-12-12T05:01:05.965476+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69137298
2025-12-12T05:01:05.968870+00:00,GBP/USD,m1,OPEN,B,1.33887,202512120459,BUY signal
2025-12-12T05:01:05.975251+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69137298
2025-12-12T05:39:06.071340+00:00,USD/JPY,m1,OPEN,B,155.697,202512120537,BUY signal
2025-12-12T05:45:11.265541+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69137336
2025-12-12T05:45:11.268837+00:00,GBP/USD,m1,OPEN,S,1.33952,202512120543,SELL signal
2025-12-12T05:45:11.276103+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69137336
2025-12-12T06:25:16.812312+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69137375
2025-12-12T06:25:16.815786+00:00,USD/JPY,m1,OPEN,S,155.77499999999998,202512120623,SELL signal
2025-12-12T06:25:16.822426+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69137375
2025-12-12T06:37:05.797449+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69137377
2025-12-12T06:37:05.801765+00:00,GBP/USD,m1,OPEN,B,1.33934,202512120634,BUY signal
2025-12-12T06:37:05.810416+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69137377
2025-12-12T06:42:16.756034+00:00,EUR/USD,m1,CLOSE,S,,,TradeID=69137334
2025-12-12T06:42:16.758873+00:00,EUR/USD,m1,OPEN,B,1.17341,202512120640,BUY signal
2025-12-12T06:42:16.765608+00:00,EUR/USD,m1,CLOSE,S,,,TradeID=69137334
2025-12-12T07:02:16.947510+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69137422
2025-12-12T07:02:16.950474+00:00,USD/JPY,m1,OPEN,B,155.643,202512120700,BUY signal
2025-12-12T07:02:16.956801+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69137422
2025-12-12T07:05:11.224465+00:00,GBP/USD,m1,OPEN,B,1.3375,202512120702,BUY signal
2025-12-12T07:18:11.453265+00:00,USD/JPY,m1,OPEN,B,155.589,202512120715,BUY signal
2025-12-12T08:16:11.213301+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69137437
2025-12-12T08:16:11.218108+00:00,USD/JPY,m1,OPEN,S,155.78,202512120814,SELL signal
2025-12-12T08:16:11.226116+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69137437
2025-12-12T09:52:05.917642+00:00,EUR/USD,m1,CLOSE,B,,,TradeID=69137427
2025-12-12T09:52:05.920624+00:00,EUR/USD,m1,OPEN,S,1.17341,202512120949,SELL signal
2025-12-12T09:52:05.928539+00:00,EUR/USD,m1,CLOSE,B,,,TradeID=69137427
2025-12-12T09:58:11.209833+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69137434
2025-12-12T09:58:11.212347+00:00,GBP/USD,m1,OPEN,S,1.33856,202512120955,SELL signal
2025-12-12T09:58:11.218705+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69137434
2025-12-12T12:03:11.280489+00:00,USD/JPY,m1,OPEN,B,155.909,202512121200,BUY signal
2025-12-15T13:36:13.698764+00:00,USD/JPY,m1,OPEN,B,154.981,202512151334,BUY signal
2025-12-15T13:58:06.395457+00:00,EUR/USD,m1,OPEN,B,1.17474,202512151355,BUY signal
2025-12-15T14:03:13.050226+00:00,GBP/USD,m1,OPEN,B,1.33841,202512151400,BUY signal
2025-12-15T14:45:13.655080+00:00,EUR/USD,m1,CLOSE,B,,,TradeID=69139196
2025-12-15T14:45:13.665674+00:00,EUR/USD,m1,OPEN,S,1.17582,202512151443,SELL signal
2025-12-15T14:45:13.685589+00:00,EUR/USD,m1,CLOSE,B,,,TradeID=69139196
2025-12-15T14:48:13.735391+00:00,USD/JPY,m1,OPEN,B,154.86499999999998,202512151446,BUY signal
2025-12-15T14:49:13.741726+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69139214
2025-12-15T14:49:13.745357+00:00,GBP/USD,m1,OPEN,S,1.34008,202512151447,SELL signal
2025-12-15T14:49:13.751546+00:00,GBP/USD,m1,CLOSE,B,,,TradeID=69139214
2025-12-15T15:21:12.931166+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69139269
2025-12-15T15:21:12.946972+00:00,USD/JPY,m1,OPEN,S,155.07399999999998,202512151519,SELL signal
2025-12-15T15:21:12.991439+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69139269
2025-12-15T15:21:13.828148+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69139272
2025-12-15T15:21:13.831141+00:00,GBP/USD,m1,OPEN,B,1.33825,202512151519,BUY signal
2025-12-15T15:21:13.837261+00:00,GBP/USD,m1,CLOSE,S,,,TradeID=69139272
2025-12-15T16:03:09.582609+00:00,USD/JPY,m1,OPEN,S,155.19,202512151601,SELL signal
2025-12-15T16:36:08.989791+00:00,GBP/USD,m1,OPEN,B,1.33774,202512151634,BUY signal
2025-12-15T19:56:07.561008+00:00,USD/JPY,m1,OPEN,B,155.248,202512151954,BUY signal
2025-12-16T00:53:12.390991+00:00,USD/JPY,m1,OPEN,S,155.07399999999998,202512160051,SELL signal
2025-12-16T01:42:07.517984+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69139589
2025-12-16T01:42:07.534396+00:00,USD/JPY,m1,OPEN,B,154.884,202512160140,BUY signal
2025-12-16T01:42:07.571261+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69139589
2025-12-16T03:38:07.474218+00:00,USD/JPY,m1,OPEN,S,154.886,202512160336,SELL signal
2025-12-16T07:03:12.531722+00:00,GBP/USD,m1,OPEN,S,1.33759,202512160701,SELL signal
2025-12-16T08:05:13.298853+00:00,EUR/USD,m1,OPEN,S,1.17581,202512160803,SELL signal
2025-12-16T08:21:13.274867+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69139650
2025-12-16T08:21:13.277938+00:00,USD/JPY,m1,OPEN,B,154.846,202512160819,BUY signal
2025-12-16T08:21:13.284926+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69139650
2025-12-16T10:36:11.540584+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69139855
2025-12-16T10:36:11.557024+00:00,USD/JPY,m1,OPEN,S,154.903,202512161034,SELL signal
2025-12-16T10:36:11.585756+00:00,USD/JPY,m1,CLOSE,B,,,TradeID=69139855
2025-12-16T11:38:12.234970+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69140053
2025-12-16T11:38:12.257511+00:00,USD/JPY,m1,OPEN,B,154.833,202512161135,BUY signal
2025-12-16T11:38:12.296802+00:00,USD/JPY,m1,CLOSE,S,,,TradeID=69140053
2025-12-16T13:37:12.451027+00:00,USD/JPY,m1,OPEN,S,154.777,202512161335,SELL signal
2025-12-16T13:40:05.884128+00:00,GBP/USD,m1,OPEN,B,1.34268,202512161338,BUY signal
