,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,ema_200,ema_100,ema_80,peaks_min,peaks_max,median_max,median_min,channel_width_pips,channel_breakout_up,channel_breakout_down,signal,valid_signal
47,202509261356,1.39415,1.39406,1.39414,1.39406,247,m1,1.39366719155721,1.3937355961493352,1.3937598954706913,0,0,1.39366719155721,1.3937598954706913,0.9,1,0,1,1
48,202509261357,1.39426,1.39413,1.39424,1.39414,231,m1,1.3936728911437055,1.393745584344398,1.3937717499035138,0,0,1.3936728911437055,1.3937717499035138,1.0,1,0,1,1
49,202509261358,1.39427,1.39414,1.39416,1.39424,117,m1,1.3936777379979972,1.393753790595004,1.3937813363256493,0,0,1.3936777379979972,1.3937813363256493,1.0,1,0,1,1
50,202509261359,1.3943,1.39399,1.39405,1.39416,278,m1,1.3936814420975197,1.393759656127776,1.3937879699966207,0,0,1.3936814420975197,1.3937879699966207,1.1,1,0,1,1
51,202509261400,1.39405,1.39355,1.39371,1.39405,313,m1,1.3936817262557535,1.393758672838117,1.393786044811519,0,0,1.3936817262557535,1.393786044811519,1.0,1,1,1,1
52,202509261401,1.3939,1.39371,1.39383,1.39371,187,m1,1.393683201616393,1.3937600852571643,1.3937871301248148,0,0,1.393683201616393,1.3937871301248148,1.0,1,0,1,1
53,202509261402,1.39392,1.39371,1.39389,1.39383,223,m1,1.3936852593117521,1.3937626578263294,1.3937896701217332,0,0,1.3936852593117521,1.3937896701217332,1.0,1,0,1,1
54,202509261403,1.39402,1.39386,1.39393,1.39389,278,m1,1.393687694542481,1.3937659715327386,1.393793135056999,0,0,1.393687694542481,1.393793135056999,1.1,1,0,1,1
55,202509261404,1.39397,1.39371,1.39373,1.39393,261,m1,1.393688115492307,1.3937652592251597,1.3937915761667028,0,0,1.393688115492307,1.3937915761667028,1.0,1,1,1,1
56,202509261405,1.39375,1.39352,1.39362,1.39373,299,m1,1.3936874377262145,1.3937623828048593,1.3937873397181424,0,0,1.3936874377262145,1.3937873397181424,1.0,0,1,-1,-1
57,202509261406,1.39378,1.39353,1.39353,1.39362,263,m1,1.3936858711816753,1.3937577811651591,1.3937809856510277,1,0,1.3936858711816753,1.3937809856510277,1.0,0,1,-1,-1
58,202509261407,1.39385,1.39351,1.39367,1.39353,363,m1,1.3936857132594695,1.3937560429242648,1.3937782452645826,0,0,1.3936857132594695,1.3937782452645826,0.9,0,1,-1,-1
59,202509261408,1.39387,1.39365,1.39384,1.39367,262,m1,1.3936872484509177,1.3937577054406158,1.3937797700728647,0,0,1.3936872484509177,1.3937797700728647,0.9,1,0,1,1
60,202509261409,1.39389,1.39366,1.39373,1.39384,271,m1,1.393687673839466,1.3937571568180294,1.3937785411821768,0,0,1.393687673839466,1.3937785411821768,0.9,1,1,1,1
61,202509261410,1.39373,1.39353,1.39366,1.39373,195,m1,1.3936873984778793,1.3937552329206426,1.393775614239407,0,0,1.3936873984778793,1.393775614239407,0.9,0,1,-1,-1
62,202509261411,1.39381,1.39362,1.3937,1.39366,215,m1,1.3936875238661592,1.393754139199442,1.3937737472211502,0,0,1.3936875238661592,1.3937737472211502,0.9,1,1,1,1
63,202509261412,1.39371,1.3935,1.39355,1.3937,244,m1,1.393686155469481,1.3937500968390568,1.3937682225984058,0,0,1.393686155469481,1.3937682225984058,0.8,0,1,-1,-1
64,202509261413,1.39377,1.39355,1.3936,1.39355,288,m1,1.393685298201128,1.393747124624422,1.3937640689540007,0,0,1.393685298201128,1.3937640689540007,0.8,0,1,-1,-1
65,202509261414,1.39368,1.39349,1.39366,1.3936,213,m1,1.3936850464777337,1.3937453993843343,1.3937614993501983,0,0,1.3936850464777337,1.3937614993501983,0.8,0,1,-1,-1
66,202509261415,1.39382,1.39353,1.3936,1.39366,405,m1,1.3936842002441245,1.3937425201886047,1.3937575117119219,0,0,1.3936842002441245,1.3937575117119219,0.7,0,1,-1,-1
67,202509261416,1.39373,1.39356,1.39372,1.3936,280,m1,1.393684556460601,1.3937420742442757,1.3937565854968128,0,0,1.393684556460601,1.3937565854968128,0.7,1,1,1,1
68,202509261417,1.39372,1.39358,1.39367,1.39372,301,m1,1.3936844116201972,1.3937406470315177,1.3937544475833112,0,0,1.3936844116201972,1.3937544475833112,0.7,0,1,-1,-1
69,202509261418,1.39381,1.39363,1.39372,1.39367,253,m1,1.3936847657334293,1.3937402381794084,1.3937535970256987,0,0,1.3936847657334293,1.3937535970256987,0.7,1,1,1,1
70,202509261419,1.39377,1.39365,1.3937599999999999,1.39372,217,m1,1.3936855143330966,1.3937406295025885,1.3937537551238297,0,0,1.3936855143330966,1.3937537551238297,0.7,1,0,1,1
71,202509261420,1.39384,1.39372,1.39382,1.3937599999999999,218,m1,1.3936868524989365,1.3937422011956067,1.3937553907997846,0,0,1.3936868524989365,1.3937553907997846,0.7,1,0,1,1
72,202509261421,1.39408,1.39382,1.39402,1.39382,293,m1,1.3936901673994446,1.3937477021620304,1.3937619243602837,0,0,1.3936901673994446,1.3937619243602837,0.7,1,0,1,1
73,202509261422,1.3941999999999999,1.394,1.3941999999999999,1.39402,246,m1,1.3936952403606442,1.3937566585548613,1.3937727410427458,0,0,1.3936952403606442,1.3937727410427458,0.8,1,0,1,1
74,202509261423,1.39421,1.3939,1.39398,1.3941999999999999,247,m1,1.3936980737898914,1.3937610811577352,1.393777858547863,0,0,1.3936980737898914,1.393777858547863,0.8,1,0,1,1
75,202509261424,1.39412,1.39394,1.39406,1.39398,253,m1,1.3937016750457136,1.3937670003427305,1.3937848250034712,0,0,1.3937016750457136,1.3937848250034712,0.8,1,0,1,1
76,202509261425,1.39422,1.39401,1.39422,1.39406,264,m1,1.3937068325079454,1.3937759706329735,1.393795570065114,0,0,1.3937068325079454,1.393795570065114,0.9,1,0,1,1
77,202509261426,1.39439,1.39419,1.39436,1.39422,210,m1,1.393713331686971,1.3937875355709346,1.393809506606716,0,0,1.393713331686971,1.393809506606716,1.0,1,0,1,1
78,202509261427,1.39436,1.39425,1.3943,1.39436,259,m1,1.393719169182623,1.393797683381411,1.3938216175546982,0,0,1.393719169182623,1.3938216175546982,1.0,1,0,1,1
79,202509261428,1.39442,1.39424,1.39435,1.3943,242,m1,1.393725446106179,1.3938086203441553,1.3938346640348291,0,0,1.393725446106179,1.3938346640348291,1.1,1,0,1,1
